Id,Name,Price,Old_price,Category,State,Delivery_price,Dicount_Percentage
9832845818,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi S/M,58.0,0
9378996650,SKARPETY TERMOAKTYWNE ULTRARUN PRO NESSI,26.9,39.9,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi 42-44 za kostkę,34.9,0
8763998416,SKARPETY TERMOAKTYWNE ULTRARUN PRO NESSI,26.9,39.9,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi 42-44 za kostkę,34.9,0
9734231316,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
7980211051,BOKSERKA ODDYCHAJĄCA DAMSKA DO BIEGANIA NESSI S/M,40.0,99.0,Allegro Sport i turystyka Bieganie Odzież,Nowy inna S/M,48.0,0
9736861893,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,45.0,50.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi S/M,53.0,0
9272760337,KOMIN SZALIK CHUSTA TERMOAKTYWNY BEZ ODBLASKU,40.0,79.0,Allegro Sport i turystyka Bieganie Odzież,Nowy inna,48.0,0
8764011714,SKARPETY TERMOAKTYWNE ULTRARUN PRO NESSI,26.9,39.9,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi 38-40 za kostkę,34.9,0
7287387786,ADIDAS BLUZA DAMSKA RÓŻOWA DO BIEGANIA G74809 S,99.0,159.0,Allegro Sport i turystyka Bieganie Odzież,Nowy adidas Performance S,107.99,0
9740901880,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi S/M,58.0,0
7977059028,BOKSERKA ODDYCHAJĄCA DAMSKA DO BIEGANIA NESSI M/L,40.0,99.0,Allegro Sport i turystyka Bieganie Odzież,Nowy inna M/L,48.0,0
9739002260,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
9900858588,SLIPY TERMOAKTYWNE MĘSKIE NESSI II GATUNEK,29.0,59.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi L/XL,37.0,0
9832842086,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
9900839229,SLIPY TERMOAKTYWNE MĘSKIE NESSI II GATUNEK,29.0,59.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi L/XL,37.0,0
9734238995,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi S/M,58.0,0
9738972985,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi S/M,58.0,0
9741547933,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi S/M,58.0,0
8763998315,SKARPETY TERMOAKTYWNE ULTRARUN PRO NESSI,26.9,39.9,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi 38-40 za kostkę,34.9,0
9832655795,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
9734242811,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
9741569631,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
9832839509,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
9834209511,MĘSKA BLUZA Z KAPTUREM ASICS ESSENTIAL CZARNA,159.0,219.0,Allegro Sport i turystyka Bieganie Odzież,Nowy ASICS M,0.0,0
